"CAMPUS","APPOINTMENT.TITLE","APPOINTING.DEPT","APPT.ANNUAL.FTR","APPT.FTR.BASIS","APPT.FRACTION","AMT.OF.SALARY.PAID.FROM.GENL.FUND","Year"
"UM_ANN-ARBOR","SR GRAPHIC ARTIST","Library Administration",52274,"12-Month",1,"52274",2002
"UM_ANN-ARBOR","LIBRARIAN","Library Tech & Access Svcs",60572,"12-Month",1,"60572",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Monographs & Catalog",23795.98,"12-Month",1,"23795.98",2002
"UM_ANN-ARBOR","SR ASSOC LIBRARIAN","Library Administration",52116,"12-Month",1,"52116",2002
"UM_ANN-ARBOR","ELECT IMAGING TECH II","Library Preservation",25677.08,"12-Month",1,"25677.08",2002
"UM_ANN-ARBOR","INFORM RES SPEC I","Library Acquisitions & Serials",30992,"12-Month",1,"30992",2002
"UM_ANN-ARBOR","FACILITIES ASST","Library Finance and Facilities",28854,"12-Month",1,"28854",2002
"UM_ANN-ARBOR","INFORM RES ASSOC","Library Acquisitions & Serials",28193.1,"12-Month",1,"28193.1",2002
"UM_ANN-ARBOR","INFORM RES SUPR","Library Acquisitions & Serials",30914,"12-Month",1,"30914",2002
"UM_ANN-ARBOR","ASSOC LIBRARIAN","Library Administration",0,"12-Month",0,"0",2002
"UM_ANN-ARBOR","LIBRARIAN","Library Acquisitions & Serials",88986,"12-Month",1,"88986",2002
"UM_ANN-ARBOR","INFORM RES SUPR","Library Cooperative Access Svc",36969,"12-Month",1,"0",2002
"UM_ANN-ARBOR","INFORM RES ASSOC","Library Monographs & Catalog",29312.92,"12-Month",1,"29312.92",2002
"UM_ANN-ARBOR","SR ASSOC LIBRARIAN","Library Administration",58261.33,"12-Month",0.75,"43696",2002
"UM_ANN-ARBOR","LIBRARIAN","Library Cooperative Access Svc",99728,"12-Month",1,"99728",2002
"UM_ANN-ARBOR","INFORM RES ASSOC","Library Monographs & Catalog",34255,"12-Month",1,"34255",2002
"UM_ANN-ARBOR","DIR SCH DEVELOP/EXT RELS","Library Administration",86319,"12-Month",1,"43159.5",2002
"UM_ANN-ARBOR","SR FINANCIAL ANALYST","Library Finance and Facilities",46680,"12-Month",1,"46680",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Monographs & Catalog",23345.92,"12-Month",1,"23345.92",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Monographs & Catalog",25612.08,"12-Month",1,"25612.08",2002
"UM_ANN-ARBOR","SR ASSOC LIBRARIAN","Library Acquisitions & Serials",52332,"12-Month",1,"52332",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Cooperative Access Svc",25597,"12-Month",1,"25597",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Cooperative Access Svc",22297.08,"12-Month",1,"22297.08",2002
"UM_ANN-ARBOR","ADMINISTRATIVE MGR I","Library Human Resources",86741.33,"12-Month",0.75,"65056",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Acquisitions & Serials",22503,"12-Month",1,"22503",2002
"UM_ANN-ARBOR","INFORM RES SUPR","Library Cooperative Access Svc",27813,"12-Month",1,"17800.32",2002
"UM_ANN-ARBOR","INFORM RES SPEC I","Library Acquisitions & Serials",29172,"12-Month",0.75,"21879",2002
"UM_ANN-ARBOR","LIBRARIAN","Library Monographs & Catalog",74391,"12-Month",1,"74391",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Acquisitions & Serials",24905.92,"12-Month",1,"24905.92",2002
"UM_ANN-ARBOR","ASSOC LIBRARIAN","Library Monographs & Catalog",48498,"12-Month",1,"48498",2002
"UM_ANN-ARBOR","INFORM RES ASSOC","Library Monographs & Catalog",32761.04,"12-Month",1,"32761.04",2002
"UM_ANN-ARBOR","INFORM RES ASST II","Library Monographs & Catalog",25834.12,"12-Month",1,"25834.12",2002
"UM_ANN-ARBOR","INFORM RES SUPR","Library Cooperative Access Svc",28677,"12-Month",1,"0",2002
"UM_ANN-ARBOR","FINANCIAL CLERK III","Library Cooperative Access Svc",25884.04,"12-Month",1,"25884.04",2002
